Raw Layers,Cropland and Managed,Vegetation Type,Detailed Vegetation,Layer Name,Value
16,Irrigated  Crop,Temperate,Temperate Corn,Irrigated Temperate Corn,1
16,Irrigated  Crop,Temperate,Temperate Corn,Irrigated Temperate Sweet Corn,2
16,Irrigated  Crop,Temperate,Temperate Corn,Irrigated Temperate Pop or Orn Corn,3
16,Rainfed Crop,Temperate,Temperate Corn,Rainfed Temperate Corn,4
16,Rainfed Crop,Temperate,Temperate Corn,Rainfed Temperate Sweet Corn,5
16,Rainfed Crop,Temperate,Temperate Corn,Rainfed Temperate Pop or Orn Corn,6
16,Irrigated  Crop,Tropical,Tropical Corn,Irrigated Tropical Corn,7
16,Irrigated  Crop,Tropical,Tropical Corn,Irrigated Tropical Sweet Corn,8
16,Irrigated  Crop,Tropical,Tropical Corn,Irrigated Tropical Pop or Orn Corn,9
16,Rainfed Crop,Tropical,Tropical Corn,Rainfed Tropical Corn,10
16,Rainfed Crop,Tropical,Tropical Corn,Rainfed Tropical Sweet Corn,11
16,Rainfed Crop,Tropical,Tropical Corn,Rainfed Tropical Pop or Orn Corn,12
16,Irrigated  Crop,Non Climate Classification,Non Climate Separated Crops,Irrigated Durum Wheat,13
16,Irrigated  Crop,Non Climate Classification,Non Climate Separated Crops,Irrigated Spring Wheat,14
16,Irrigated  Crop,Non Climate Classification,Non Climate Separated Crops,Irrigated Winter Wheat,15
16,Irrigated  Crop,Non Climate Classification,Non Climate Separated Crops,Irrigated Buckwheat,16
16,Rainfed Crop,Non Climate Classification,Non Climate Separated Crops,Rainfed Durum Wheat,17
16,Rainfed Crop,Non Climate Classification,Non Climate Separated Crops,Rainfed Spring Wheat,18
16,Rainfed Crop,Non Climate Classification,Non Climate Separated Crops,Rainfed Winter Wheat,19
16,Rainfed Crop,Non Climate Classification,Non Climate Separated Crops,Rainfed Buckwheat,20
16,Irrigated  Crop,Non Climate Classification,Non Climate Separated Crops,Irrigated Rice,21
16,Rainfed Crop,Non Climate Classification,Non Climate Separated Crops,Rainfed Rice,22
16,Irrigated  Crop,Non Climate Classification,Non Climate Separated Crops,Irrigated Potatoes,23
16,Irrigated  Crop,Non Climate Classification,Non Climate Separated Crops,Irrigated Sweet Potatoes,24
16,Irrigated  Crop,Non Climate Classification,Non Climate Separated Crops,Irrigated Radishes,25
16,Rainfed Crop,Non Climate Classification,Non Climate Separated Crops,Rainfed Potatoes,26
16,Rainfed Crop,Non Climate Classification,Non Climate Separated Crops,Rainfed Sweet Potatoes,27
16,Rainfed Crop,Non Climate Classification,Non Climate Separated Crops,Rainfed Radishes,28
